SI.NO,PART NO,SKU Number,PART NAME,QUANTITY,LOCATION,CATEGORY CODE,SUB CATEGORY DIGIT,Item Number,Unique Serial,Description /Specifications,Storage Details,Product Dimensions (for shipping),Product Weight (GRAMS),Minimum Stock Level,Images / Links,User,Date ,Comments,Product Family,
148,,580261,XT90 Male Connector with Housing-1 pcs-XT90H-M.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,26,1,,,,,,,,,,,
149,,580271,XT90 Female Connector with Housing-1 pcs-XT90H-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,27,1,,,,,,,,,,,
150,,580281,XT90S Anti Spark Connector with Housing-Female â€“ XT90S-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,28,1,,,,,,,,,,,
151,,580291,AS150U Female Connector â€“ AS150U-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,29,1,,,,,,,,,,,
152,,580301,Amass AS150U Male Connector â€“ AS150U-M.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,30,1,,,,,,,,,,,
153,,580311,MT30 3 Pole Motor/ESC Connector Set Female â€“ 1 Pcs- MT30-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,31,1,,,,,,,,,,,
154,,580321,MT30 3 Pole Motor/ESC Connector Set male â€“ 1 Pcs- MT30-M.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,32,1,,,,,,,,,,,
155,,580331,AS120(2+4) Male Connector â€“ AS120(2+4)-M.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,33,1,,,,,,,,,,,
156,,580341,AS120(2+4) Female Connector â€“ AS120(2+4)-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,34,1,,,,,,,,,,,
157,,610031,TFMini-S Micro LiDAR Distance Sensor for Drones UAV UAS Robots (12m)12C,0,,6 Sensors & Radars,Rangefinders,3,1,,,,,,,,,,,
158,,610041,TFMini Plus LiDAR Distance Sensor for Drones Robots IoT ITS Smart Detection (12m),0,,6 Sensors & Radars,Rangefinders,4,1,,,,,,,,,,,
159,,610051,TFMini-S Micro LiDAR Distance Sensor for Drones UAV UAS Robots (12m) UART,0,,6 Sensors & Radars,Rangefinders,5,1,,,,,,,,,,,
160,,610061,TF02-Pro LIDAR Distance Ranging Sensor FOR DRONES UAV UAS Robots (40M) IP65 LIDAR,0,,6 Sensors & Radars,Rangefinders,6,1,,,,,,,,,,,
161,,610071,TF-LUNA Micro LiDAR Distance Sensor for IoT ITS (8M),0,,6 Sensors & Radars,Rangefinders,7,1,,,,,,,,,,,
162,,310041,DJI TB65 Intelligent Flight Battery - For Matrice 350RTK,0,,3 Electrochemical Devices,Batteries,4,1,,,,,,,,,,,
163,,660041,DJI Zenmuse L2,0,,6 Sensors & Radars,Optical Flow & Vision Sensors,4,1,,,,,,,,,,,
164,,660051,"DJI Zenmuse H30N 
",0,,6 Sensors & Radars,Optical Flow & Vision Sensors,5,1,,,,,,,,,,,
165,,650011,DJI D-RTK 3 Multifunctional Station by DJI,0,,6 Sensors & Radars,GNSS & RTK Receivers,1,1,,,,,,,,,,,
167,,810021,DJI RC Pro Enterprise Remote controller,0,,8 Remote Controls,RC Transmitters,2,1,,,,,,,,,,,
168,,810031,DJI RC Plus Remote controller,0,,8 Remote Controls,RC Transmitters,3,1,,,,,,,,,,,
170,,B40011,DJI Agras T30 Propulsion Set,0,,B Kits,PROPULSION KITS,1,1,,,,,,,,,,,
171,,310051,DJI Agras T30 Intelligent Flight Battery,0,,3 Electrochemical Devices,Batteries,5,1,,,,,,,,,,,
172,,430011,DJI Agras T30 Intelligent Battery Station,0,,4 Power Supplies,Battery Stations,1,1,,,,,,,,,,,
173,,910051,DJI Agras T30 Frame,0,,9 Frames & Protective Covers,Aircraft Frames,5,1,,,,,,,,,,,
174,,810041,DJI Agras T10/T30 Remote Controller (Agras Smart Controller 3.0),0,,8 Remote Controls,RC Transmitters,4,1,,,,,,,,,,,
175,,310061,DJI BS65 Intelligent Battery Station- For Matrice 350RTK,0,,3 Electrochemical Devices,Batteries,6,1,,,,,,,,,,,
176,,A20031,DJI Matrice 400,0,,A  UAV,Survey / Mapping Drones,3,1,,,,,,,,,,,
177,,660061,DJI O4 Air Unit,0,,6 Sensors & Radars,Optical Flow & Vision Sensors,6,1,,,,,,,,,,,
178,,660071,DJI O4 Air Unit Pro,0,,6 Sensors & Radars,Optical Flow & Vision Sensors,7,1,,,,,,,,,,,
179,,810051,DJI Goggles 3,0,,8 Remote Controls,RC Transmitters,5,1,,,,,,,,,,,
180,,B50011,EFT E610P 10L 6 Axis Agriculture Drone Frame with Tank,0,,B Kits,DRONE FRAME KITS,1,1,,,,,,,,,,,
181,,B50021,EFT E616P 16L 6 Axis Agriculture Drone Frame with Tank,0,,B Kits,DRONE FRAME KITS,2,1,,,,,,,,,,,
182,,B50031,EFT E616P 16L 6 Axis Agriculture Drone Frame (Without Tank),0,,B Kits,DRONE FRAME KITS,3,1,,,,,,,,,,,
183,,B50041,EFT E620P 20L 6 Axis Agriculture Drone Frame with Tank,0,,B Kits,DRONE FRAME KITS,4,1,,,,,,,,,,,
184,,B50051,EFT E410P 10L 4 Axis Agriculture Drone Frame with Tank,0,,B Kits,DRONE FRAME KITS,5,1,,,,,,,,,,,
185,,B50061,EFT E420P 20L 4 Axis Agriculture Drone Frame with Tank,0,,B Kits,DRONE FRAME KITS,6,1,,,,,,,,,,,
186,,160041,"EFT E series 10L Tank with Battery plate for Agri Drones
",0,,1 Mechanical,Tanks & Containers,4,1,,,,,,,,,,,
187,,160051,EFT E series 16L Tank with Battery Plate for Agri Drones,0,,1 Mechanical,Tanks & Containers,5,1,,,,,,,,,,,
188,,160061,"EFT E series 20L Tank with Battery Plate for Agri Drones
",0,,1 Mechanical,Tanks & Containers,6,1,,,,,,,,,,,
189,,130111,"EFT Agricultural Drone Height & Rear Obstacle Avoidance Radar Mount (Height & Rear)
",0,,1 Mechanical,Covers & Brackets,11,1,,,,,,,,,,,
190,,130121,"EFT Agricultural Drone Front Obstacle Avoidance Radar Mount (Front)
",0,,1 Mechanical,Covers & Brackets,12,1,,,,,,,,,,,
191,,130131,Rader Fixing Part / Flat EFT,0,,1 Mechanical,Covers & Brackets,13,1,,,,,,,,,,,
192,,220041,EFT Universal Spray Pneumatic Packet Vertical/1set For EFT All Agri Drone Frame,0,,2 Pressure & Vacuum,Pneumatic & Spraying Kits,4,1,,,,,,,,,,,
193,,310071,Herewin 22.2V 22000mAh 25C 6S Lithium Polymer Battery Pack,0,,3 Electrochemical Devices,Batteries,7,1,,,,,,,,,,,
194,,B40021,Hobbywing XRotor X6 Plus Motor with 2480 Folding Propeller Combo â€“ CW,0,,B Kits,PROPULSION KITS,2,1,,,,,,,,,,,
195,,B40031,"Hobbywing XRotor X6 Plus Motor with 2480 Folding Propeller Combo â€“ CCW
",0,,B Kits,PROPULSION KITS,3,1,,,,,,,,,,,
196,,710011,Hobbywing XRotor X6 Plus Motor Only- CW,0,,7 Motors & Propellers,Motors,1,1,,,,,,,,,,,
197,,710021,Hobbywing XRotor X6 Plus Motor Only- CCW,0,,7 Motors & Propellers,Motors,2,1,,,,,,,,,,,
198,,#N/A,Hobbywing X6 Plus 2480 Propellers with Hub â€“ CCW,0,,7 Motors & Propellers,Propellers ,11,1,,,,,,,,,,,
199,,#N/A,Hobbywing X6 Plus 2480 Propellers with Hub â€“ CW,0,,7 Motors & Propellers,Propellers ,12,1,,,,,,,,,,,
200,,B40041,Hobbywing XRotor X8 Motor and 3011 Folding Propeller Combo Kit â€“ CCW,0,,B Kits,PROPULSION KITS,4,1,,,,,,,,,,,
201,,B40051,Hobbywing XRotor X8 Motor and 3011 Folding Propeller Combo Kit â€“ CW,0,,B Kits,PROPULSION KITS,5,1,,,,,,,,,,,
202,,710031,Hobbywing XRotor X8 Motor Only- CW,0,,7 Motors & Propellers,Motors,3,1,,,,,,,,,,,
203,,#N/A,Hobbywing XRotor X8 Motor Only- CCW,0,,7 Motors & Propellers,Propellers ,13,1,,,,,,,,,,,
204,,#N/A,Hobbywing X8 3011 Propellers with Hub â€“ CW,0,,7 Motors & Propellers,Propellers ,14,1,,,,,,,,,,,
205,,#N/A,Hobbywing X8 3011 Propellers with Hub â€“ CCW,0,,7 Motors & Propellers,Propellers ,15,1,,,,,,,,,,,
206,,B40061,Hobbywing XRotor X9 Motor and 3411 Folding Propeller Combo Kit â€“ CW,0,,B Kits,PROPULSION KITS,6,1,,,,,,,,,,,
207,,B40071,Hobbywing XRotor X9 Motor and 3411 Folding Propeller Combo Kit â€“ CCW,0,,B Kits,PROPULSION KITS,7,1,,,,,,,,,,,
208,,230031,Hobbywing 5L Brushless Water Pump 10A 14S V1 for Agriculture drones,0,,2 Pressure & Vacuum,Mini Pumps & Compressors,3,1,,,,,,,,,,,
209,,230041,Hobbywing 8L Brushless Water Pump Agriculture Drones,0,,2 Pressure & Vacuum,Mini Pumps & Compressors,4,1,,,,,,,,,,,
210,,#N/A,Hobbywing X9 Plus 36190 Propellers with Hub â€“ CCW,0,,7 Motors & Propellers,Propellers ,16,1,,,,,,,,,,,
211,,#N/A,Hobbywing X9 Plus 36190 Propellers with Hub â€“ CW,0,,7 Motors & Propellers,Propellers ,17,1,,,,,,,,,,,
212,,B40081,Jiyi K++ V2 Flight Controller Kit for Agri Drones,0,,B Kits,PROPULSION KITS,8,1,,,,,,,,,,,
213,,B40091,Jiyi K3APro flight controller kit for Agri Drones,0,,B Kits,PROPULSION KITS,9,1,,,,,,,,,,,
214,,530031,JIYI GPS Module Only for K++ V2 Flight Controller â€“ Drone Navigation System,0,,5 Flight Controllers & Electronics,Communication & Wi-Fi modules,3,1,,,,,,,,,,,
215,,510031,Vk V9-AG Flight Controller Intelligent Autonomous with GPS Agricultural Drone Spray Usage,0,,5 Flight Controllers & Electronics,Flight Controllers,3,1,,,,,,,,,,,
216,,610081,JIYI Terrain Following Radar Sensor for Agri Drones,0,,6 Sensors & Radars,Rangefinders,8,1,,,,,,,,,,,
217,,690011,"Jiyi Front Obstacle Avoidance Radar for Agri Drones
",0,,6 Sensors & Radars,mmWave / FMCW Radars,1,1,,,,,,,,,,,
218,,690021,Jiyi Back Obstacle Avoidance Radar for Agri Drones,0,,6 Sensors & Radars,mmWave / FMCW Radars,2,1,,,,,,,,,,,
219,,530041,Jiyi CAN HUB-12 (Tracking Device) for Agri Drones,0,,5 Flight Controllers & Electronics,Communication & Wi-Fi modules,4,1,,,,,,,,,,,
220,,240051,Jiyi Flow meter (For Agriculture Drones),0,,2 Pressure & Vacuum,Regulators & Relief Devices,5,1,,,,,,,,,,,
221,,810061,Siyi MK15 Mini HD Handheld Transmitter FPV RC Controller Combo for Agri Drone,0,,8 Remote Controls,RC Transmitters,6,1,,,,,,,,,,,
222,,810071,Siyi MK32 Agriculture Handheld Ground Station Smart Transmitter And RC Controller for Agri Drones,0,,8 Remote Controls,RC Transmitters,7,1,,,,,,,,,,,
223,,660081,SIYI A8 mini 4K 8MP Ultra HD 6X Digital Zoom Gimbal Camera,0,,6 Sensors & Radars,Optical Flow & Vision Sensors,8,1,,,,,,,,,,,
224,,660091,SIYI MK15 IP67 FPV Camera A,0,,6 Sensors & Radars,Optical Flow & Vision Sensors,9,1,,,,,,,,,,,
225,,810081,SIYI MK15E Mini HD Handheld Enterprise Smart Controller for Agri Drones,0,,8 Remote Controls,RC Transmitters,8,1,,,,,,,,,,,
226,,660101,SIYI AI Tracking Module 4T,0,,6 Sensors & Radars,Optical Flow & Vision Sensors,10,1,,,,,,,,,,,
227,,810091,SIYI UniRC 7 Pro Dual Frequency Smart controller,0,,8 Remote Controls,RC Transmitters,9,1,,,,,,,,,,,
228,,810101,Siyi Uni RC 7 Handheld Ground Station,0,,8 Remote Controls,RC Transmitters,10,1,,,,,,,,,,,
229,,660111,SIYI A2 mini Ultra Wide Angle FPV Gimbal Single Axis Camera Sensor,0,,6 Sensors & Radars,Optical Flow & Vision Sensors,11,1,,,,,,,,,,,
230,,810111,SKYDROID T12 2.4GHZ 12CH Remote Controller with R12 Receiver,0,,8 Remote Controls,RC Transmitters,11,1,,,,,,,,,,,
231,,810121,SKYDROID T12 2.4GHZ 12CH Remote Controller with R12 Receiver and 3IN1 Camera,0,,8 Remote Controls,RC Transmitters,12,1,,,,,,,,,,,
232,,410011,"SKYRC PC1080 Dual Channel Charger for Drones 
",0,,4 Power Supplies,Chargers,1,1,,,,,,,,,,,
233,,760011,T Motor A8 Modular Agriculture Propulsion System for agriculture drones,0,,7 Motors & Propellers,Prop Hubs & Quick-Release Systems,1,1,,,,,,,,,,,
234,,760021,T Motor A6 Modular Agriculture Propulsion System for agriculture drones,0,,7 Motors & Propellers,Prop Hubs & Quick-Release Systems,2,1,,,,,,,,,,,
235,,560021,T Motor Air 40A Esc,0,,5 Flight Controllers & Electronics,ESC & Motor-Drive Boards,2,1,,,,,,,,,,,
236,,710041,T MOTOR ANTIGRAVITY 4006 380KV 2pcs/set,0,,7 Motors & Propellers,Motors,4,1,,,,,,,,,,,
237,,#N/A,T Motor NS16x5.4 Prop-2PCS/PAIR,0,,7 Motors & Propellers,Propellers ,18,1,,,,,,,,,,,
238,,560031,T Motor Flame 60A Hv Esc,0,,5 Flight Controllers & Electronics,ESC & Motor-Drive Boards,3,1,,,,,,,,,,,
239,,710051,T Motor Antigravity MN5008 KV340,0,,7 Motors & Propellers,Motors,5,1,,,,,,,,,,,
240,,#N/A,T Motor P18*6.1 Prop-2PCS/PAIR,0,,7 Motors & Propellers,Propellers ,19,1,,,,,,,,,,,
241,,560041,T Motor Alpha 60A 12S V1.2 Esc,0,,5 Flight Controllers & Electronics,ESC & Motor-Drive Boards,4,1,,,,,,,,,,,
242,,#N/A,T Motor P13*4.4 Prop-2PCS/PAIR,0,,7 Motors & Propellers,Propellers ,20,1,,,,,,,,,,,
243,,#N/A,T Motor NS18*6 Prop-2PCS/PAIR,0,,7 Motors & Propellers,Propellers ,21,1,,,,,,,,,,,                                  
244,,560051,T Motor Flame 100A 14S ESC,0,,5 Flight Controllers & Electronics,ESC & Motor-Drive Boards,5,1,,,,,,,,,,,
245,,B40101,T Motor Air Gear 450 Combo,0,NA,B Kits,PROPULSION KITS,10,1,,,,,,,,,,,
246,,310081,Original Tattu 22000mAh 25C 22.2V 6S1P XT90-S LiPo Battery pack,0,NA,3 Electrochemical Devices,Batteries,8,1,,,,,,,,,,,
247,,510041,RC TRANSMITTER SIYI MK15,0,,5 Flight Controllers & Electronics,Flight Controllers,4,1,,,22x18x10,1500,,,,08-05-2025,,,
248,,710061,MOTOR (CM-X8-8120-100KV-D40-CCW),5,,7 Motors & Propellers,Motors,6,1,,,,,,,,08-11-2025,,,
249,,710071,MOTOR (CM-X8-8120-100KV-D40-CW),3,,7 Motors & Propellers,Motors,7,1,,,,,,,,08-11-2025,,,
250,,220051,FLOW SENSOR,50,,2 Pressure & Vacuum,Pneumatic & Spraying Kits,5,1,,,,,,,,08-11-2025,,,
251,,910061,E 616 Frame,25,,9 Frames & Protective Covers,Aircraft Frames,6,1,,,,,,,,08-11-2025,,,
253,,910071,E620P Frame Set with Tank,5,,9 Frames & Protective Covers,Aircraft Frames,7,1,,,,,,,,08-11-2025,,,
254,,910081,E410P FRAME WITH TANK,1,,9 Frames & Protective Covers,Aircraft Frames,8,1,,,,,,,,08-11-2025,,,
255,,910091,E420P FRAME WITH TANK ,1,,9 Frames & Protective Covers,Aircraft Frames,9,1,,,,,,,,08-11-2025,,,
256,,510051,SKYDRIOD H12 REMOTE CONTROLLER COMBO,2,,5 Flight Controllers & Electronics,Flight Controllers,5,1,,,,,,,,08-11-2025,,,
257,,310091,SkySmart T30 Intelligent Flight Battery ,,,3 Electrochemical Devices,Batteries,9,1,,,,,,,,8/28/2025,,,
258,,160071,Agriculture Drone Kit E610P For 10L Tank with Flight Controller,,,1 Mechanical,Tanks & Containers,7,1,,,,,,,,8/28/2025,,,
259,,160081,Agriculture Drone Kit E616P For 16L Tank with Flight Controller,,,1 Mechanical,Tanks & Containers,8,1,,,,,,,,8/28/2025,,,
260,,160091,DJI Agras T30 30L Spray Tank,,,1 Mechanical,Tanks & Containers,9,1,,,,,,,,8/28/2025,,,
261,,630021,DJI Agras T30 Spherical Radar System ,,,6 Sensors & Radars,Compass Modules,2,1,,,,,,,,8/28/2025,,,
262,,720221,Hobbywing X11 Plus CW Motor Combo with 4314 Propellers Combo for Drones,,,7 Motors & Propellers,,,,,,,,,,,,,,
263,,720231,Hobbywing X11 Plus CCW Motor Combo with 4314 Propellers for Drones,,,7 Motors & Propellers,,,,,,,,,,,,,,
264,,720241,DJI Agras T30 Propulsion Set (6 pcs),,,7 Motors & Propellers,,,,,,,,,,,,,,
265,,820021,DJI Agras T30 Agriculture Drone Kit,,,8 Remote Controls,Accessories,2,1,,,,,,,,8/28/2025,,,
266,,C10011,DJI Terra Pro Overseas 1 Year (1 Device),,,C Robots,scara,1,1,,,,,,,,8/28/2025,,,
267,,C10021,DJI Terra Pro Overseas Permanent (1 Device),,,C Robots,scara,2,1,,,,,,,,8/28/2025,,,
268,,C10031,DJI Terra Electricity Overseas 1 Year (1 Device),,,C Robots,scara,3,1,,,,,,,,8/28/2025,,,
269,,C10041,DJI Modify Standard Permanent (1 Device),,,C Robots,scara,4,1,,,,,,,,8/28/2025,,,
270,,C10051,DJI FlightHub 2 Professional Version (12 month plan),,,C Robots,scara,5,1,,,,,,,,8/28/2025,,,
271,,C10061,DJI FlightHub 2 Professional Version (1 month plan),,,C Robots,scara,6,1,,,,,,,,8/28/2025,,,
272,,710081,Flameback 4006 320KV BLDC Drone Motor,,,7 Motors & Propellers,Motors,8,1,,,,,,,,9/25/2025,,,
273,,710091,Flameback 4006 380 KV BLDC Drone Motor,,,7 Motors & Propellers,Motors,9,1,,,,,,,,9/25/2025,,,
274,,710101,Flameback 4220 KV 600 BLDC Drone Motor,,,7 Motors & Propellers,Motors,10,1,,,,,,,,9/25/2025,,,
275,,710111,Flameback 2415 KV 1200 BLDC Drone Motor,,,7 Motors & Propellers,Motors,11,1,,,,,,,,9/25/2025,,,
276,,710121,Flameback 6220 KV 150 BLDC Drone Motor,,,7 Motors & Propellers,Motors,12,1,,,,,,,,9/25/2025,,,
277,,710131,Flameback 3120 KV 500 BLDC Drone Motor,,,7 Motors & Propellers,Motors,13,1,,,,,,,,9/25/2025,,,
278,,560061,Flameback Tech ESC 45A,,,5 Flight Controllers & Electronics,ESC & Motor-Drive Boards,6,1,,,,,,,,9/25/2025,,,
279,,610091,UAV-R21-1-B(V9) Obstacle Avoidance Radar Sensor,,,6 Sensors & Radars,Rangefinders,9,1,,,,,,,,11-06-2025,,,
280,,610101,UAV-R21-1-F(V9) Obstacle Avoidance Radar Sensor,,,6 Sensors & Radars,Rangefinders,10,1,,,,,,,,11-06-2025,,,
281,,610111,UAV-R21-1-T(V9) Obstacle Avoidance Radar Sensor,,,6 Sensors & Radars,Rangefinders,11,1,,,,,,,,11-06-2025,,,
282,,580351,"EFT Power Cable 440mm/XT90/Male/Compatible with All Drone Frames (1pcs)",,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,35,1,,,,,,,,11-06-2025,,,
283,,210021,Hobbywing 9L Centrifugal Nozzle Spray for UAV Drones,,,2 Pressure & Vacuum,Nozzles,2,1,,,,,,,,11-06-2025,,,
284,,210031,Aerosol 4810 3LPM Centrifugal Nozzle,,,2 Pressure & Vacuum,Nozzles,3,1,,,,,,,,11-06-2025,,,
285,,210041,Aerosol 8820 8LPM Centrifugal Nozzle,,,2 Pressure & Vacuum,Nozzles,4,1,,,,,,,,11-06-2025,,,
286,,210051,EFT Drone Frame Extended Pressure Nozzles for All EFT Drones,,,2 Pressure & Vacuum,Nozzles,5,1,,,,,,,,11-06-2025,,,
287,,520081,EFT Drone Parts Power Distribution Board Six Axes/E6P/1pcs For EFT E610M E610P E616P E620P Agriculture Drone Frame PDB,,,5 Flight Controllers & Electronics,Electronic Boards,8,1,,,,,,,,11-06-2025,,,
288,,120021,EFT Landing Gear Brace Ï†20*420/Compatible with E410P/E610P,,,1 Mechanical,Landing Gear,2,1,,,,,,,,11-06-2025,,,
289,,150031,EFT Landing Gear Mount Ï†20/EP/Compatible with all Drone Frames,,,1 Mechanical,Springs & Mechanisms,3,1,,,,,,,,11-06-2025,,,
290,,110031,EFT Arm Carbon Tube Ï†30*27*330 Compatible with E610P,,,1 Mechanical,Tubes & Arms,3,1,,,,,,,,11-06-2025,,,
291,,130141,EFT Arm Lock Cap Ï†35 Compatible with E610P 35mm/30mm,,,1 Mechanical,Covers & Brackets,14,1,,,,,,,,11-06-2025,,,
292,,B10021,EFT Arm Kit 30mm Arm Clamp Compatible with E610 ,,,B Kits,ARM KIT/ARM ACCESSORIES PACK,2,1,,,,,,,,11-06-2025,,,
293,,B30031,EFT Arm Screw Pack M5*50/ Compatible with E610P 35mm/30mm(6pcs),,,B Kits,DRONE ARM SCREW PACK,3,1,,,,,,,,11-06-2025,,,
294,,B20021,EFT Tank Screw Pack M6*45/4pcs Compatible with all Drone Frames,,,B Kits,TANK SCREW PACK,2,1,,,,,,,,11-06-2025,,,
295,,110041,EFT Arm Aluminum Tube Ï†40*37*265 with EFT Arm Folding Part,,,1 Mechanical,Tubes & Arms,4,1,,,,,,,,11-06-2025,,,
296,,910101,EFT E610P 10L 6 Axis Agriculture Drone Frame without Tank (No Tank),,,9 Frames & Protective Covers,Aircraft Frames,10,1,,,,,,,,11-06-2025,,,
297,,580361,Tank Outlet Connector 5pcs Set,,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,36,1,,,,,,,,11-06-2025,,,
298,,130151,EFT Plug Holder XT90/Compatible with All Drone Frames,,,1 Mechanical,Covers & Brackets,15,1,,,,,,,,11-06-2025,,,
299,,130161,EFT Drone Frame Parts GPS Mount 60mm/Nylon/1pcs For EFT EP Series G06 Drone Frame Accessories Flexible,,,1 Mechanical,Covers & Brackets,16,1,,,,,,,,11-06-2025,,,
300,,520091,"EFT Flight Control Mounting Board 1.5mm/E6P/Compatible with E610P/E616P (2pcs)",,,5 Flight Controllers & Electronics,Electronic Boards,9,1,,,,,,,,11-06-2025,,,
301,,920151,EFT Canopy cover For E610P Frame (Blue),,,9 Frames & Protective Covers,Protective Covers & Stickers,15,1,,,,,,,,11-06-2025,,,
302,,780011,2480 PROPELLER V2-CCW,,,7 Motors & Propellers,Spare Parts & Advanced Propulsion,1,1,,,,,,,,11-07-2025,,,
303,,780021,2480 PROPELLER V2-CW,,,7 Motors & Propellers,Spare Parts & Advanced Propulsion,2,1,,,,,,,,11-07-2025,,,
304,,580371,Cable assembly for K++ and Mk15,,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,37,1,,,,,,,,12/16/2025,,,
305,,210061,Aerosol 5810 5LPM Centrifugal Nozzle,,,2 Pressure & Vacuum,Nozzles,6,1,,,,,,,,12/18/2025,,,
306,,820031,SIYI HM30 Long Range Image Transmission FPV Telemetry Module Standard Combo,,,8 Remote Controls,Accessories,3,1,,,,,,,,1/19/2026,,,
